"seed","data","criterion","method","K","silhouette","dunn","ari_true","runtime","filename"
3,"Hepta","dunnindex","kmeans_plus",7,0.701701220874264,1.07618340765214,1,0.41929318,"Hepta-dunnindex-seed3"
3,"Hepta","dunnindex","hclust",7,0.701701220874264,1.07618340765214,1,0.455470019,"Hepta-dunnindex-seed3"
3,"Hepta","dunnindex","gmm",2,0.0989145549124749,0.274610735205372,-10,0.177144206,"Hepta-dunnindex-seed3"
3,"Hepta","dunnindex","dbscan",1,0.701701220874264,1.07618340765214,-10,0.45775246,"Hepta-dunnindex-seed3"
4,"Hepta","dunnindex","True",7,0.701701220874264,1.07618340765214,1,0,"Hepta-dunnindex-seed4"
4,"Hepta","dunnindex","ICOT_local",4,0.449179267681687,0.357475223438775,-10,119.917287622,"Hepta-dunnindex-seed4"
4,"Hepta","dunnindex","OCT",7,0.372975456024656,0.0274417123112856,0.49242569107585,0.138472264,"Hepta-dunnindex-seed4"
4,"Hepta","dunnindex","kmeans_plus",7,0.701701220874264,1.07618340765214,1,0.435741673,"Hepta-dunnindex-seed4"
4,"Hepta","dunnindex","hclust",7,0.701701220874264,1.07618340765214,1,0.473622904,"Hepta-dunnindex-seed4"
4,"Hepta","dunnindex","gmm",4,0.42642819280759,0.354575132859287,-10,0.179224743,"Hepta-dunnindex-seed4"
4,"Hepta","dunnindex","dbscan",1,0.701701220874264,1.07618340765214,-10,0.412106272,"Hepta-dunnindex-seed4"
5,"Hepta","dunnindex","True",7,0.701701220874264,1.07618340765214,1,0,"Hepta-dunnindex-seed5"
5,"Hepta","dunnindex","ICOT_local",4,0.449179267681687,0.357475223438775,-10,121.146026806,"Hepta-dunnindex-seed5"
5,"Hepta","dunnindex","OCT",7,0.376570111502805,0.0274417123112856,0.492759452034735,0.090147725,"Hepta-dunnindex-seed5"
5,"Hepta","dunnindex","kmeans_plus",7,0.701701220874264,1.07618340765214,1,0.422752583,"Hepta-dunnindex-seed5"
5,"Hepta","dunnindex","hclust",7,0.701701220874264,1.07618340765214,1,0.675184907,"Hepta-dunnindex-seed5"
5,"Hepta","dunnindex","gmm",4,0.452244187462668,0.354210202724347,-10,0.195843436,"Hepta-dunnindex-seed5"
5,"Hepta","dunnindex","dbscan",1,0.701701220874264,1.07618340765214,-10,0.422780112,"Hepta-dunnindex-seed5"
1,"Hepta","silhouette","True",7,0.701701220874264,1.07618340765214,1,0,"Hepta-silhouette-seed1"
1,"Hepta","silhouette","ICOT_local",4,0.455071807119679,0.342533365318007,-10,78.252162946,"Hepta-silhouette-seed1"
